City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Santa Rosa,20,AR,1520901300,46,-36.62,-64.29,23.0,6.7
Upernavik,36,GL,1520906999,96,72.79,-56.15,-18.98,0.51
Swellendam,0,ZA,1520902800,88,-34.02,20.44,17.0,1.0
Kasangulu,12,CD,1520902800,74,-4.59,15.17,26.0,1.0
Purwodadi,76,ID,1520907001,89,-7.08,110.92,26.22,1.26
Taltal,0,CL,1520907001,97,-25.41,-70.49,11.57,0.66
Bluff,36,AU,1520906921,37,-23.58,149.07,31.12,6.31
Petropavlovsk-Kamchatskiy,48,RU,1520904600,48,53.05,158.65,-6.0,1.0
Rongcheng,0,CN,1520907003,58,37.16,122.42,16.12,7.16
Sorsk,0,RU,1520907003,71,54.0,90.25,-19.93,0.56
Caravelas,64,BR,1520907004,100,-17.73,-39.27,26.97,7.01
Kulhudhuffushi,68,MV,1520907004,100,6.62,73.07,26.57,4.16
Marzuq,0,YE,1520907004,82,14.4,46.47,7.02,0.96
Colac,0,AU,1520907005,58,-38.34,143.59,20.52,2.31
Otautau,92,NZ,1520907005,87,-46.14,168.0,10.87,9.01
Agirish,36,RU,1520907005,77,61.92,63.02,-12.58,2.81
Te Anau,92,NZ,1520907006,78,-45.41,167.72,8.22,4.46
Mangrol,0,IN,1520907006,37,25.33,76.51,23.17,2.41
Hami,0,CN,1520907007,58,42.84,93.51,12.27,3.41
Inuvik,40,CA,1520902800,66,68.36,-133.71,-11.0,1.46
Ushuaia,75,AR,1520906400,70,-54.81,-68.31,7.0,4.6
Genhe,12,CN,1520907007,70,50.78,121.52,-2.78,2.46
Altay,56,CN,1520907008,74,47.83,88.13,-3.38,1.16
Manosque,0,FR,1520904600,70,43.83,5.78,10.0,2.1
Stokmarknes,0,NO,1520907009,100,68.56,14.91,-3.88,1.36
Athabasca,0,CA,1520906768,77,54.72,-113.29,-7.13,3.41
Barahan,0,PH,1520907009,87,13.01,120.76,28.72,0.31
Bull Savanna,24,JM,1520906914,87,17.89,-77.59,21.37,1.56
Butaritari,80,KI,1520906916,100,3.07,172.79,28.27,5.51
Tungor,76,RU,1520907010,97,53.39,142.95,-8.03,2.26
Lebu,75,ET,1520902800,55,8.96,38.73,16.0,1.0
Namibe,0,AO,1520907011,100,-15.19,12.15,23.47,4.71
Barcelona,0,ES,1520904600,70,41.38,2.18,9.0,1.5
Ouegoa,92,NC,1520907011,97,-20.34,164.44,25.62,8.41
Haines Junction,32,CA,1520907012,94,60.75,-137.51,-3.53,0.91
Rawson,0,AR,1520906813,30,-43.3,-65.11,14.62,9.31
Jinchang,0,CN,1520907012,79,38.52,102.19,8.97,1.86
Kieta,76,PG,1520907013,100,-6.22,155.63,27.47,1.61
Merauke,48,ID,1520906732,100,-8.49,140.4,28.42,2.11
Ust-Maya,8,RU,1520906884,63,60.42,134.54,-17.83,1.66
Bathurst,32,AU,1520907014,70,-33.42,149.58,21.77,1.66
Luderitz,48,NA,1520902800,100,-26.65,15.16,16.0,3.1
Rostovka,32,RU,1520904600,69,55.02,73.58,-23.0,1.0
Katherine,40,AU,1520904600,55,-14.47,132.26,31.0,7.7
Peresichna,0,UA,1520904600,85,50.02,35.98,-7.0,6.0
Cascais,75,PT,1520904600,100,38.7,-9.42,14.0,6.2
Chicontepec,100,MX,1520907017,68,20.97,-98.17,17.62,0.76
Biak,76,ID,1520907017,94,-0.91,122.88,27.87,0.61
Yertsevo,92,RU,1520907018,91,60.8,40.09,-4.98,7.16
Aklavik,40,CA,1520902800,66,68.22,-135.01,-11.0,1.61
Zyryanka,24,RU,1520907019,60,65.73,150.89,-24.83,1.36
Balikpapan,44,ID,1520907019,95,-1.24,116.86,29.57,1.66
Sitka,0,US,1520907019,47,37.17,-99.65,4.72,3.66
Vila Franca do Campo,40,PT,1520904600,87,37.72,-25.43,16.0,6.7
Konstancin-Jeziorna,40,PL,1520904600,76,52.08,21.12,9.0,5.1
Osorheiu,64,RO,1520904600,93,47.03,22.05,8.0,2.1
Ayagoz,12,KZ,1520907021,92,47.96,80.43,-9.58,4.31
De-Kastri,24,RU,1520907021,94,51.48,140.77,-2.78,2.56
Okhotsk,12,RU,1520907022,100,59.36,143.24,-10.43,1.16
Yellowknife,75,CA,1520904000,59,62.45,-114.38,2.0,2.6
Phan Thiet,24,VN,1520907022,72,10.93,108.1,28.92,5.31
Kamenka,36,RU,1520906920,82,53.19,44.05,-17.28,4.01
Voyvozh,76,RU,1520906967,83,62.89,54.96,-9.73,4.56
Zima,0,RU,1520907023,79,53.93,102.05,-14.48,2.31
Luganville,64,VU,1520907023,98,-15.51,167.18,28.87,7.81
Palmer,75,AU,1520904600,43,-34.85,139.16,21.0,4.6
Richards Bay,0,ZA,1520907024,94,-28.77,32.06,18.77,1.56
Chauk,0,MM,1520907025,45,20.89,94.82,28.32,2.01
Atar,44,MR,1520907025,28,20.52,-13.05,19.62,3.31
Junin,0,PE,1520906400,62,-16.45,-71.58,14.0,1.0
Lavrentiya,56,RU,1520907026,100,65.58,-170.99,-16.88,7.51
Mangai,12,CD,1520907026,100,-4.07,19.59,22.97,0.96
Iquitos,40,PE,1520906400,94,-3.75,-73.25,24.0,2.1
Banjar,0,ID,1520907027,79,-7.37,108.54,27.27,1.16
Gualaco,20,HN,1520906400,78,15.03,-86.07,26.0,1.0
New Norfolk,40,AU,1520904600,46,-42.78,147.06,21.0,5.1
Preobrazheniye,32,RU,1520907028,53,42.9,133.91,12.37,2.11
Codrington,48,AU,1520907028,83,-28.95,153.24,22.77,2.96
Fuxin,0,CN,1520907028,41,42.02,121.65,15.92,4.66
Port Hedland,20,AU,1520904600,44,-20.31,118.58,34.0,6.7
Pevek,36,RU,1520906784,97,69.7,170.27,-24.53,3.26
Krutinka,24,RU,1520907030,60,56.01,71.51,-24.68,2.41
Kutum,0,SD,1520907030,18,14.2,24.66,15.62,5.06
Jimma,0,ET,1520907030,95,7.67,36.84,10.57,1.06
Kroya,20,ID,1520907031,89,-6.5,108.06,27.72,1.51
Rastolita,92,RO,1520907032,94,46.97,24.99,4.12,0.91
Gerash,0,IR,1520902800,71,27.67,54.14,13.0,1.21
Pisco,0,PE,1520906400,78,-13.71,-76.2,22.0,1.0
Srivardhan,24,IN,1520906783,69,18.03,73.02,27.67,1.66
Mahebourg,40,MU,1520902800,74,-20.41,57.7,27.0,7.2
Gondanglegi,92,ID,1520907034,82,-7.75,112.01,25.27,1.81
Kuching,90,MY,1520904600,100,1.56,110.34,24.0,1.0
Tilichiki,8,RU,1520907025,72,60.47,166.1,-19.23,4.56
Bosaso,0,SO,1520907035,100,11.28,49.18,23.87,1.16
Dabola,32,GN,1520907035,55,10.74,-11.11,24.22,1.51
Alice Springs,0,AU,1520904600,26,-23.7,133.88,29.0,7.7
Dikson,44,RU,1520907024,100,73.51,80.55,-23.13,8.36
Kuusamo,90,FI,1520904000,92,65.96,29.19,-6.0,3.1
Goderich,92,CA,1520907036,91,43.74,-81.71,-2.93,2.51
Hilo,40,US,1520902560,64,19.71,-155.08,24.0,2.6
Victoria,75,BN,1520904600,79,5.28,115.24,30.0,1.5
Bochil,5,MX,1520905920,61,17.0,-92.89,26.0,11.3
Meulaboh,0,ID,1520907038,100,4.14,96.13,28.27,1.26
Whitehorse,75,CA,1520902800,60,60.72,-135.06,5.0,3.6
San Rafael,0,AR,1520907009,14,-34.61,-68.33,18.07,6.41
Borodino,20,RU,1520907040,63,55.9,94.89,-19.78,1.61
Deputatskiy,12,RU,1520907040,49,69.3,139.9,-27.73,1.76
Benidorm,0,ES,1520904600,58,38.54,-0.13,13.0,3.1
Athens,90,US,1520904900,81,34.8,-86.97,8.0,3.6
Khasan,80,RU,1520907041,76,42.43,130.64,4.02,0.31
Igarka,64,RU,1520907041,76,67.47,86.57,-24.28,8.76
Kez,0,RU,1520907042,65,57.9,53.72,-20.03,3.86
Klaksvik,88,FO,1520904000,55,62.23,-6.59,4.0,8.2
Winnemucca,90,US,1520902560,31,40.97,-117.74,16.0,1.5
Lahaina,90,US,1520902560,93,20.87,-156.68,22.0,6.2
Yelandur,44,IN,1520906824,70,12.07,77.03,20.27,1.26
Canala,100,NC,1520906400,62,-21.52,165.96,30.0,3.6
Linhares,44,BR,1520907044,97,-19.38,-40.06,23.67,1.21
Hualmay,80,PE,1520907045,78,-11.1,-77.61,20.07,1.16
Luau,88,CD,1520907045,100,-10.7,22.23,18.12,1.31
Meylan,90,FR,1520904600,81,45.21,5.78,8.0,1.0
Avarua,40,CK,1520906400,62,-21.21,-159.78,29.0,4.1
Batesville,1,US,1520902560,53,35.77,-91.64,9.0,2.1
Arlit,0,NE,1520907046,18,18.74,7.39,16.32,2.06
Cherskiy,32,RU,1520907047,72,68.75,161.3,-26.83,2.36
Sao Filipe,0,CV,1520907047,92,14.9,-24.5,22.07,7.81
Kaitangata,44,NZ,1520907048,56,-46.28,169.85,13.27,10.06
