Compound Score,Negative Score,Neutral Score,News Source,Positive Score,Tweets Ago
-0.4404,0.153,0.847,@CNN,0.0,0
-0.7184,0.24,0.76,@CNN,0.0,1
0.5267,0.0,0.848,@CNN,0.152,2
-0.4939,0.198,0.802,@CNN,0.0,3
0.1779,0.0,0.876,@CNN,0.124,4
0.6249,0.0,0.823,@CNN,0.177,5
0.0,0.0,1.0,@CNN,0.0,6
0.0,0.0,1.0,@CNN,0.0,7
0.0,0.0,1.0,@CNN,0.0,8
0.1027,0.0,0.924,@CNN,0.076,9
-0.5574,0.153,0.847,@CNN,0.0,10
0.34,0.0,0.882,@CNN,0.118,11
0.4019,0.0,0.881,@CNN,0.119,12
-0.683,0.292,0.584,@CNN,0.123,13
-0.5622,0.301,0.571,@CNN,0.128,14
0.0,0.0,1.0,@CNN,0.0,15
-0.296,0.109,0.891,@CNN,0.0,16
0.0,0.0,1.0,@CNN,0.0,17
-0.296,0.136,0.864,@CNN,0.0,18
-0.34,0.194,0.806,@CNN,0.0,19
-0.0516,0.128,0.752,@CNN,0.119,20
0.0,0.0,1.0,@CNN,0.0,21
-0.2732,0.104,0.896,@CNN,0.0,22
0.0,0.0,1.0,@CNN,0.0,23
0.0,0.0,1.0,@CNN,0.0,24
-0.2732,0.084,0.916,@CNN,0.0,25
-0.743,0.27,0.73,@CNN,0.0,26
0.5859,0.0,0.769,@CNN,0.231,27
0.0,0.0,1.0,@CNN,0.0,28
0.3182,0.0,0.874,@CNN,0.126,29
0.0,0.0,1.0,@CNN,0.0,30
-0.25,0.125,0.875,@CNN,0.0,31
0.0,0.0,1.0,@CNN,0.0,32
0.0,0.0,1.0,@CNN,0.0,33
0.0,0.0,1.0,@CNN,0.0,34
0.0,0.0,1.0,@CNN,0.0,35
0.0,0.0,1.0,@CNN,0.0,36
-0.2732,0.1,0.9,@CNN,0.0,37
-0.7003,0.298,0.702,@CNN,0.0,38
0.4019,0.0,0.856,@CNN,0.144,39
0.3612,0.0,0.821,@CNN,0.179,40
-0.1779,0.108,0.892,@CNN,0.0,41
0.0,0.0,1.0,@CNN,0.0,42
-0.4939,0.224,0.672,@CNN,0.104,43
0.0,0.0,1.0,@CNN,0.0,44
0.128,0.0,0.897,@CNN,0.103,45
-0.5267,0.159,0.841,@CNN,0.0,46
-0.4767,0.232,0.664,@CNN,0.104,47
0.2732,0.0,0.905,@CNN,0.095,48
-0.4812,0.172,0.828,@CNN,0.0,49
0.4019,0.0,0.881,@CNN,0.119,50
-0.7845,0.239,0.761,@CNN,0.0,51
-0.4404,0.285,0.498,@CNN,0.217,52
-0.5499,0.191,0.809,@CNN,0.0,53
0.9118,0.0,0.507,@CNN,0.493,54
0.0,0.0,1.0,@CNN,0.0,55
0.0,0.0,1.0,@CNN,0.0,56
0.0,0.0,1.0,@CNN,0.0,57
0.0,0.0,1.0,@CNN,0.0,58
0.4019,0.0,0.876,@CNN,0.124,59
0.0,0.0,1.0,@CNN,0.0,60
